word,num
rooms,828
Indeed,829
laid,830
sensible,831
opportunity,832
nearly,833
wild,834
fancy,835
farther,836
generally,837
Ahab,838
easy,839
grave,840
twenty,841
closed,842
play,843
tears,844
road,845
across,846
equal,847
placed,848
write,849
you.,850
pain,851
equally,852
Delano,853
Musgrove,854
believed,855
women,856
below,857
Every,858
writing,859
drew,860
hoped,861
officers,862
pause,863
Havisham,864
[,865
Elton,866
green,867
clear,868
line,869
mentioned,870
exclaimed,871
pride,872
d,873
glance,874
altogether,875
Bingley,876
moved,877
rose,878
instantly,879
fast,880
companion,881
society,882
],883
Willoughby,884
satisfaction,885
dropped,886
delight,887
Upon,888
forget,889
desk,890
probably,891
original,892
mention,893
favour,894
assure,895
letters,896
pass,897
loved,898
horses,899
advantage,900
anxious,901
public,902
me.,903
aware,904
laugh,905
finding,906
ran,907
occurred,908
hurried,909
promise,910
months,911
beautiful,912
lying,913
touched,914
thrown,915
besides,916
Richard,917
General,918
health,919
influence,920
Nothing,921
dress,922
satisfied,923
danger,924
note,925
William,926
running,927
private,928
evil,929
third,930
spite,931
Are,932
meeting,933
putting,934
greatest,935
spot,936
difference,937
Sikes,938
Thomas,939
streets,940
wonderful,941
raised,942
goes,943
cut,944
trust,945
merely,946
law,947
taste,948
Walter,949
marriage,950
allowed,951
stone,952
lips,953
Where,954
temper,955
wine,956
judge,957
highly,958
m,959
written,960
Jew,961
prove,962
allow,963
bright,964
Very,965
seat,966
future,967
understood,968
various,969
pity,970
desire,971
history,972
removed,973
Leicester,974
consequence,975
single,976
died,977
changed,978
summer,979
miles,980
begin,981
Jennings,982
Russell,983
inquired,984
everybody,985
Look,986
wide,987
forgotten,988
wholly,989
top,990
calm,991
shoulder,992
service,993
disposed,994
personal,995
negro,996
Norris,997
laughed,998
spent,999
<PAD>,0
